year_month,current_price,old_price,price_diff,product_name,brand,vendor
2024-06,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-06,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-06,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-06,4.49,5.99,-1.5,Cheese And Chives Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-07,6.49,7.79,-1.2999999999999998,Organic White Liquid Eggs,Naturegg,Metro
2024-06,6.49,7.79,-1.2999999999999998,Organic White Liquid Eggs,Naturegg,Metro
2024-06,6.49,7.79,-1.2999999999999998,Organic White Liquid Eggs,Naturegg,Metro
2024-06,6.49,7.79,-1.2999999999999998,Organic White Liquid Eggs,Naturegg,Metro
2024-06,9.91,6.69,3.2199999999999998,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-06,9.91,6.69,3.2199999999999998,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-06,9.91,6.69,3.2199999999999998,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-06,9.91,6.69,3.2199999999999998,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-07,4.99,6.69,-1.7000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-07,4.99,6.69,-1.7000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-07,4.99,6.69,-1.7000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-08,4.75,6.83,-2.08,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-08,4.75,6.83,-2.08,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-08,4.75,6.83,-2.08,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-08,4.75,6.83,-2.08,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-08,4.75,6.83,-2.08,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-08,4.75,6.83,-2.08,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-08,4.88,6.83,-1.9500000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-08,4.88,6.83,-1.9500000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-08,4.88,6.83,-1.9500000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-08,4.88,6.83,-1.9500000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-08,4.88,6.83,-1.9500000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-08,4.88,6.83,-1.9500000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-09,4.99,6.83,-1.8399999999999999,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-09,4.99,6.83,-1.8399999999999999,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-09,4.99,6.83,-1.8399999999999999,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-09,4.99,6.83,-1.8399999999999999,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-09,4.99,6.83,-1.8399999999999999,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-09,4.99,6.83,-1.8399999999999999,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-09,4.99,6.83,-1.8399999999999999,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-09,4.99,6.83,-1.8399999999999999,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-09,4.99,6.83,-1.8399999999999999,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-09,4.99,6.83,-1.8399999999999999,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-02,4.99,6.69,-1.7000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-03,4.99,6.69,-1.7000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-03,4.99,6.69,-1.7000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-03,4.99,6.69,-1.7000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-03,4.99,6.69,-1.7000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-03,4.99,6.69,-1.7000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-03,4.99,6.69,-1.7000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-05,5.49,6.69,-1.2000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-05,5.49,6.69,-1.2000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-05,5.49,6.69,-1.2000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-05,4.99,6.69,-1.7000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-05,4.99,6.69,-1.7000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-05,4.99,6.69,-1.7000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-05,4.99,6.69,-1.7000000000000002,Grade A Large Eggs,Burnbrae Farms,NoFrills
2024-02,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-03,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
2024-04,4.99,5.49,-0.5,Garden Vegetable Flavoured Fat Free Liquid Eggs,Burnbrae Farms,Metro
